,Codigo,Nombre,Departamento,Municipio
4253,2121500042,EL SILENCIO ,Tolima,Ibague
4254,2319500043,FLORIDABLANCA ,Santander,Floridablanca
4255,1602500044,GRAMALOTE ,Norte de Santander,Gramalote
4256,3502700090,GUAYURIBA ,Meta,Villavicencio
4257,2201500047,HERRERA ,Tolima,Planadas
4258,2121500048,IBAGUE ,Tolima,Ibague
4259,2401500040,CUCUNUBA AUTOMATICA [24010140],Cundinamarca,Cucunuba
4260,2401700091,LAS MINAS ,Santander,Zapatoca
4261,2403500049,MALAGA 2 ,Santander,Malaga
4262,3519700092,MANI ,Casanare,Mani
4263,2401500052,PUENTE GUILLERMO ,Santander,Puente Nacional
4264,2125700094,RECIO 1 ,Tolima,Libano
4265,2904700095,REMOLINO ,Atlantico,Sabanagrande
4266,2305500055,SAN JOSE DE PENSILVANIA ,Caldas,Pensilvania
4267,2319700096,SAN JUAN DE LOS CHORROS ,Santander,Puerto Wilches
4268,2636700098,HACIENDA LA GRACIOSA ,Valle del Cauca,Bugalagrande
4269,2105700099,PUENTE COHETANDO ,Cauca,Paez
4270,3602700101,SAN SALVADOR ,Arauca,Tame
4271,5311500056,UNIVERSIDAD DEL PACIFICO ,Valle del Cauca,Buenaventura
4272,1506700107,LA VEGA  [1506700107],La Guajira,Albania
4273,1506700108,SANTA ISABEL  [1506700108],La Guajira,Maicao
4274,1506000111,SANTA ISABEL  [1506000111],La Guajira,Albania
4275,1506700110,POZO TIGRE  [1506700110],La Guajira,Albania
4276,1506700111,LA BOTA  [1506700111],La Guajira,Albania
4277,2312700145,SANTA ROSA ,Santander,Cimitarra
4278,2701500105,EL PLAYON ,Antioquia,Barbosa
4279,5204500108,APONTE ,Nariño,El Tablon
4280,2614500112,BELLAVISTA ,Caldas,Anserma
4281,3702500113,CAMPO HERMOSO ,Norte de Santander,Toledo
4282,3701500114,CHINACOTA ,Norte de Santander,Toledo
4283,2633500119,GUACHAL PALMASECA ,Valle del Cauca,Buga
4284,5311500121,LA CUMBRE ,Valle del Cauca,La Cumbre
4285,2603700157,REMOLINO ,Cauca,El Tambo
4286,2119500111,BASE AEREA MELGAR,Tolima,Melgar
4287,23080920,SANTUARIO [23080920],Antioquia,Santuario
4288,2615500122,LA ESPERANZA ANDALUCIA ,Caldas,Manizales
4289,2319500125,POLIDEPORTIVO CACHIRA ,Norte de Santander,Cachira
4290,2613500126,POTREROS ,RIsaralda,Santa Rosa De Cabal
4291,2612500130,SALENTO ,Quindío,Salento
4292,2610500131,SANTA LUCIA ,Valle del Cauca,Tulua
4293,5202500132,SANTIAGO ,Cauca,San Sebastian
4294,2319500137,VETAS ,Santander,Vetas
4295,2602700148,CAUCA ALTO ,Cauca,Cajibio
4296,2629700151,LA VORAGINE ,Valle del Cauca,Cali
4297,1605700152,PALO GRANDE ,Norte de Santander,Ocana
4298,5311700154,PUENTE ZACARIAS ,Valle del Cauca,Buenaventura
4299,2119700147,SAN MIGUEL,Cundinamarca,Ricaurte
4300,2314700159,RIO LA COLORADA ,Santander,Simacota
4301,2619700161,SALGAR ,Antioquia,Pueblorrico
4302,2120700146,UNIVERSIDAD DE LA SABANA ,Cundinamarca,Chia
4303,1602500110,ARBOLEDAS ,Norte de Santander,Arboledas
4304,2614500116,EL JARDIN CUENCA ALTA RIO RISARALDA ,Caldas,Riosucio
4305,3701500117,EL PORTILLO ,Norte de Santander,Silos
4306,1509500118,GUACHACA ,Magdalena,Santa Marta
4307,2501500120,JUAN JOSE ,Córdoba,Puerto Libertador
4308,2612500124,PIJAO ,Quindío,Pijao
4309,2603500127,REMOLINO ALERTAS ,Cauca,El Tambo
4310,5102500128,RESERVA NATURAL LA PLANADA ,Nariño,Ricaurte
4311,1206500136,UNIVERSIDAD UNAD CARTAGENA ,Bolívar,Cartagena De Indias
4312,2405700149,EL JUNCAL ,Santander,Los Santos
4313,2633700150,GUAYABAL ,Valle del Cauca,Buga
4314,2502700153,PLANTA ECOPETROL ,Bolívar,Magangue
4315,2311700155,PUERTO BOYACA ,Boyacá,Puerto Boyaca
4316,2613700156,PUERTO CALDAS ,RIsaralda,Pereira
4317,2611700158,RIO FRIO ,Valle del Cauca,Riofrio
4318,1501700160,RIO MANZANARES ALERTAS ,Magdalena,Santa Marta
4319,2120700162,SAN JOAQUIN ,Cundinamarca,La Mesa
4320,1506700135,EMBALSE DEL MUERTO  [1506700135],La Guajira,Hato Nuevo
4321,3602500123,CALICHAL  [3602500123],Arauca,Tame
4322,2615500126,ALFOMBRALES  [2615500126],Caldas,Villamaria
4323,3602500124,PLAYÓN  [3602500124],Arauca,Tame
4324,3602500125,MONTEBELLO  [3602500125],Arauca,Tame
4325,2125500127,RECIO  [2125500127],Tolima,Murillo
4326,23085270,AEROPUERTO J.M. CORDOVA ,Antioquia,Rionegro
4327,27037020,RETIRO EL [27037020],Antioquia,Zaragoza
4328,42070020,PITUNA [42070020],Vaupes,Mitu
4329,25020420,VARAS LAS [25020420],Bolívar,San Jacinto Del Cauca
4330,23055070,ARGELIA [23055070],Antioquia,Argelia
4331,26237040,PUERTO VALDIVIA ,Antioquia,Valdivia
4332,26187110,LA PINTADA [26187110],Antioquia,La Pintada
4333,2308500068,SANTUARIO ,Antioquia,Santuario
4334,27015330,OLAYA HERRERA ,Antioquia,Medellin
4335,27015110,ARAGON ,Antioquia,Santa Rosa De Osos
4336,26240150,PUERTO VALDIVIA [26240150],Antioquia,Valdivia
4337,12017020,BARRANQUILLITA  ,Antioquia,Chigorodo
4338,26240160,COQUERA LA [26240160],Antioquia,Caucasia
4339,23050420,ARGELIA ANTIOQUIA ,Antioquia,Argelia
4340,2120500150,TIBAITATA [21205420],Cundinamarca,Mosquera
4341,2120500151,TIBAITATA ,Cundinamarca,Mosquera
4342,2120500152,HACIENDA SANTA ANA [21205970],Cundinamarca,Nemocon
4343,2120500153,HACIENDA SANTA ANA ,Cundinamarca,Nemocon
4344,3210500154,Radar Met SANJOSE,Guaviare,San Jose Del Guaviare
4345,2314500155,Radar Met BARRANCA,Santander,Barrancabermeja
